date,signal,tickers,count
2024-12-27 12:45:00+05:30,SELL,"['BCHUSDT', 'GMTUSDT']",2
2024-12-27 13:30:00+05:30,BUY,['STGUSDT'],1
2024-12-27 15:15:00+05:30,SELL,['ACXUSDT'],1
2024-12-27 15:45:00+05:30,SELL,"['IOUSDT', 'VICUSDT', 'BAKEUSDT', 'ALTUSDT', 'AMBUSDT', 'PHBUSDT', 'VTHOUSDT', 'CTSIUSDT', 'ORDIUSDT']",9
2024-12-27 16:00:00+05:30,SELL,"['KDAUSDT', 'PIXELUSDT', 'TNSRUSDT']",3
2024-12-27 16:45:00+05:30,BUY,['MEUSDT'],1
2024-12-27 16:45:00+05:30,SELL,"['STRAXUSDT', 'GMTUSDT']",2
2024-12-27 18:15:00+05:30,SELL,"['BLURUSDT', 'JSTUSDT']",2
2024-12-27 18:30:00+05:30,SELL,['WINUSDT'],1
2024-12-27 18:45:00+05:30,SELL,['SUNUSDT'],1
2024-12-27 19:00:00+05:30,SELL,['ATAUSDT'],1
2024-12-27 19:30:00+05:30,SELL,['OMUSDT'],1
2024-12-27 20:00:00+05:30,SELL,['BBUSDT'],1
2024-12-27 21:00:00+05:30,BUY,['DEXEUSDT'],1
2024-12-27 21:15:00+05:30,BUY,['SLFUSDT'],1
2024-12-27 21:30:00+05:30,BUY,['LPTUSDT'],1
2024-12-27 22:00:00+05:30,BUY,"['VIDTUSDT', 'AMBUSDT']",2
2024-12-27 22:15:00+05:30,BUY,['FIOUSDT'],1
2024-12-27 22:45:00+05:30,BUY,"['WUSDT', 'ICPUSDT', 'TKOUSDT']",3
2024-12-27 23:00:00+05:30,BUY,"['STRAXUSDT', 'MLNUSDT', 'ALGOUSDT']",3
2024-12-27 23:30:00+05:30,BUY,['AGLDUSDT'],1
2024-12-28 02:15:00+05:30,BUY,['AMPUSDT'],1
2024-12-28 02:30:00+05:30,BUY,['ALGOUSDT'],1
2024-12-28 02:45:00+05:30,BUY,['FISUSDT'],1
2024-12-28 03:30:00+05:30,SELL,['MOVEUSDT'],1
2024-12-28 03:45:00+05:30,BUY,"['DOTUSDT', 'SUNUSDT', 'SNTUSDT']",3
2024-12-28 04:30:00+05:30,BUY,"['ACXUSDT', 'FTTUSDT']",2
2024-12-28 04:30:00+05:30,SELL,['PHAUSDT'],1
2024-12-28 05:00:00+05:30,BUY,['FORTHUSDT'],1
2024-12-28 05:15:00+05:30,BUY,"['TWTUSDT', 'CKBUSDT', 'RSRUSDT', 'HIFIUSDT', 'GALAUSDT', 'VELODROMEUSDT', 'DASHUSDT', 'TROYUSDT', 'WAXPUSDT', 'NMRUSDT', 'FETUSDT', 'MTLUSDT', 'JSTUSDT', 'DEGOUSDT', 'TIAUSDT', 'MOVRUSDT', 'TNSRUSDT', 'EOSUSDT', 'BURGERUSDT']",19
2024-12-28 05:30:00+05:30,BUY,"['JOEUSDT', 'THETAUSDT', 'MANTAUSDT', 'DGBUSDT']",4
2024-12-28 06:45:00+05:30,BUY,['SLFUSDT'],1
2024-12-28 07:30:00+05:30,BUY,"['LDOUSDT', 'SUIUSDT', 'DYDXUSDT']",3
2024-12-28 09:00:00+05:30,BUY,"['WUSDT', 'ZROUSDT', 'FXSUSDT']",3
2024-12-28 09:30:00+05:30,SELL,['LITUSDT'],1
2024-12-28 10:15:00+05:30,BUY,['AIUSDT'],1
2024-12-28 10:30:00+05:30,BUY,"['DIAUSDT', 'ZILUSDT', 'UTKUSDT', 'CHRUSDT', 'AXSUSDT', 'DFUSDT', 'VTHOUSDT', 'BOMEUSDT', 'CATIUSDT', 'SLPUSDT', 'XTZUSDT', 'BALUSDT', 'ACMUSDT', 'WOOUSDT']",14
2024-12-28 10:45:00+05:30,BUY,['AERGOUSDT'],1
2024-12-28 11:00:00+05:30,SELL,['IDEXUSDT'],1
2024-12-28 11:45:00+05:30,SELL,['LITUSDT'],1
2024-12-28 12:30:00+05:30,BUY,"['CTXCUSDT', 'RSRUSDT', 'BBUSDT']",3
2024-12-28 12:45:00+05:30,BUY,['PAXGUSDT'],1
2024-12-28 13:30:00+05:30,BUY,"['UTKUSDT', 'LUMIAUSDT', 'DGBUSDT']",3
2024-12-28 13:45:00+05:30,BUY,"['GUSDT', 'TIAUSDT', 'LAZIOUSDT', 'CELOUSDT', 'FTMUSDT', 'BOMEUSDT']",6
2024-12-28 14:00:00+05:30,BUY,"['SEIUSDT', 'DOTUSDT', 'DASHUSDT']",3
2024-12-28 14:00:00+05:30,SELL,"['STEEMUSDT', 'STORJUSDT']",2
2024-12-28 14:15:00+05:30,BUY,"['SSVUSDT', 'MKRUSDT', 'KMDUSDT']",3
2024-12-28 14:30:00+05:30,BUY,['DFUSDT'],1
2024-12-28 16:45:00+05:30,BUY,"['AERGOUSDT', 'TKOUSDT', 'IOTXUSDT', 'TLMUSDT', 'SKLUSDT', 'LEVERUSDT', 'RONINUSDT', 'GNOUSDT', 'BANDUSDT', 'BLURUSDT', 'CTSIUSDT', 'DODOUSDT', 'YGGUSDT', 'COMBOUSDT', 'GRTUSDT', 'WOOUSDT', 'HMSTRUSDT', 'ICPUSDT', 'KAIAUSDT', 'MANTAUSDT', 'STGUSDT', 'BAKEUSDT', 'QNTUSDT', 'ADAUSDT', 'XLMUSDT', 'AEVOUSDT', 'ZILUSDT', 'DYDXUSDT', 'EGLDUSDT', 'LUNCUSDT', 'GUSDT', 'NULSUSDT', 'LTCUSDT', 'BNXUSDT', 'C98USDT', 'BEAMXUSDT', 'PERPUSDT', 'AXSUSDT', 'COSUSDT', 'BOMEUSDT', 'SXPUSDT', 'NKNUSDT', 'IMXUSDT', 'FIOUSDT', 'OSMOUSDT', 'POLUSDT', 'PIXELUSDT', 'TIAUSDT', 'MOVRUSDT', 'LUNAUSDT', 'STRKUSDT', 'ATOMUSDT', 'HFTUSDT', 'MASKUSDT', 'BSWUSDT']",55
2024-12-28 16:45:00+05:30,SELL,['REQUSDT'],1
2024-12-28 17:00:00+05:30,BUY,"['DOGSUSDT', 'TURBOUSDT', 'IOUSDT']",3
2024-12-28 17:15:00+05:30,BUY,['PHBUSDT'],1
2024-12-28 17:45:00+05:30,SELL,['PUNDIXUSDT'],1
2024-12-28 18:45:00+05:30,BUY,"['IDUSDT', 'HBARUSDT', 'DFUSDT']",3
2024-12-28 19:30:00+05:30,BUY,['THEUSDT'],1
2024-12-28 19:45:00+05:30,BUY,['STRAXUSDT'],1
2024-12-28 19:45:00+05:30,SELL,['LITUSDT'],1
2024-12-28 20:00:00+05:30,SELL,"['STMXUSDT', 'TFUELUSDT', 'OGUSDT', 'APTUSDT', 'MOVRUSDT', 'SCRTUSDT']",6
2024-12-28 20:15:00+05:30,SELL,"['FIDAUSDT', 'CHESSUSDT', 'BAKEUSDT', 'PERPUSDT', 'AMBUSDT', 'HOTUSDT']",6
2024-12-28 20:45:00+05:30,SELL,['LEVERUSDT'],1
2024-12-28 21:00:00+05:30,SELL,['ALPACAUSDT'],1
2024-12-28 21:15:00+05:30,SELL,"['IOTAUSDT', 'ARKMUSDT', 'PROMUSDT', 'SYNUSDT']",4
2024-12-28 22:00:00+05:30,BUY,['TRXUSDT'],1
2024-12-28 22:15:00+05:30,BUY,['FTMUSDT'],1
2024-12-28 23:15:00+05:30,SELL,['IQUSDT'],1
2024-12-28 23:30:00+05:30,SELL,"['ONGUSDT', 'LUNAUSDT', 'ALPHAUSDT', 'HIFIUSDT', 'FLOKIUSDT', 'BURGERUSDT', 'WOOUSDT']",7
2024-12-28 23:45:00+05:30,SELL,['SHIBUSDT'],1
2024-12-29 00:00:00+05:30,SELL,"['PROMUSDT', 'AVAXUSDT', 'DENTUSDT', 'ACHUSDT', 'NMRUSDT', 'HBARUSDT', 'MANTAUSDT', 'ONEUSDT', 'PEPEUSDT', 'BNSOLUSDT', 'SSVUSDT', 'TURBOUSDT', 'TNSRUSDT', 'IOSTUSDT']",14
2024-12-29 00:30:00+05:30,BUY,"['VELODROMEUSDT', 'KMDUSDT']",2
2024-12-29 00:30:00+05:30,SELL,['JTOUSDT'],1
2024-12-29 01:15:00+05:30,SELL,['MOVRUSDT'],1
2024-12-29 02:30:00+05:30,BUY,['OGNUSDT'],1
2024-12-29 02:45:00+05:30,BUY,['ARDRUSDT'],1
2024-12-29 03:00:00+05:30,BUY,"['DIAUSDT', 'SANTOSUSDT']",2
2024-12-29 03:30:00+05:30,SELL,['XVGUSDT'],1
2024-12-29 04:00:00+05:30,SELL,"['ENAUSDT', 'LPTUSDT']",2
2024-12-29 04:45:00+05:30,SELL,"['SEIUSDT', 'LDOUSDT', 'DOTUSDT', 'JASMYUSDT']",4
2024-12-29 05:00:00+05:30,SELL,"['EGLDUSDT', 'QNTUSDT', 'PYTHUSDT']",3
2024-12-29 05:15:00+05:30,SELL,['RSRUSDT'],1
2024-12-29 05:30:00+05:30,SELL,"['DCRUSDT', 'SCRUSDT']",2
2024-12-29 06:15:00+05:30,BUY,['IDEXUSDT'],1
2024-12-29 06:30:00+05:30,SELL,"['QKCUSDT', 'DARUSDT']",2
2024-12-29 06:45:00+05:30,BUY,['REQUSDT'],1
2024-12-29 06:45:00+05:30,SELL,['FIOUSDT'],1
2024-12-29 07:00:00+05:30,BUY,['MOVEUSDT'],1
2024-12-29 07:30:00+05:30,BUY,['MDTUSDT'],1
2024-12-29 07:45:00+05:30,BUY,"['SHIBUSDT', 'MKRUSDT', 'RUNEUSDT']",3
2024-12-29 08:00:00+05:30,BUY,"['SPELLUSDT', 'OMNIUSDT', 'TWTUSDT', 'LAZIOUSDT', 'CHRUSDT', 'RDNTUSDT', 'BALUSDT', 'COMBOUSDT', 'REZUSDT', 'PORTOUSDT', 'BAKEUSDT', 'WANUSDT', 'JUVUSDT', 'SNXUSDT', 'UNIUSDT', 'ZROUSDT', 'DOGSUSDT', 'FIDAUSDT', 'IOUSDT', 'MAGICUSDT', 'C98USDT', 'PERPUSDT', 'SAGAUSDT', 'XAIUSDT', 'ZKUSDT', 'TNSRUSDT', 'HFTUSDT']",27
2024-12-29 09:00:00+05:30,SELL,['PHAUSDT'],1
2024-12-29 10:45:00+05:30,BUY,['CVXUSDT'],1
2024-12-29 10:45:00+05:30,SELL,['THEUSDT'],1
2024-12-29 11:15:00+05:30,BUY,['LISTAUSDT'],1
2024-12-29 11:45:00+05:30,BUY,"['HOOKUSDT', 'GNSUSDT', 'FISUSDT', 'OMNIUSDT']",4
2024-12-29 12:00:00+05:30,BUY,"['EDUUSDT', 'UMAUSDT', 'FUNUSDT', 'CATIUSDT', 'XECUSDT', 'ASTRUSDT', 'EIGENUSDT', '1INCHUSDT', 'COMPUSDT', 'CAKEUSDT', 'RVNUSDT', 'JASMYUSDT', 'BALUSDT', 'YGGUSDT']",14
2024-12-29 12:15:00+05:30,BUY,"['PROMUSDT', 'C98USDT', 'FXSUSDT', 'HBARUSDT', 'AIUSDT']",5
2024-12-29 14:45:00+05:30,BUY,['AAVEUSDT'],1
2024-12-29 15:00:00+05:30,BUY,"['REQUSDT', 'QTUMUSDT', 'VIDTUSDT', 'APTUSDT', 'DATAUSDT', 'RAREUSDT', 'MDTUSDT']",7
2024-12-29 15:15:00+05:30,BUY,"['KAIAUSDT', 'CLVUSDT', 'MOVRUSDT', 'SNTUSDT', 'LRCUSDT', 'BANDUSDT', 'ZILUSDT']",7
2024-12-29 17:30:00+05:30,BUY,"['NMRUSDT', 'ATAUSDT', 'XVGUSDT', 'COWUSDT']",4
2024-12-29 17:45:00+05:30,BUY,['VICUSDT'],1
2024-12-29 18:30:00+05:30,BUY,"['JASMYUSDT', 'QKCUSDT']",2
2024-12-29 18:45:00+05:30,BUY,"['KAIAUSDT', 'CTSIUSDT']",2
2024-12-29 19:00:00+05:30,BUY,['ALPHAUSDT'],1
2024-12-29 19:15:00+05:30,BUY,"['LITUSDT', 'GUSDT', 'SUPERUSDT', 'METISUSDT', 'XECUSDT', 'LDOUSDT', 'TAOUSDT', 'JSTUSDT', 'POLYXUSDT', 'ENJUSDT', 'XTZUSDT', 'SCUSDT', 'AIUSDT']",13
2024-12-29 19:30:00+05:30,BUY,['RAYUSDT'],1
2024-12-29 19:30:00+05:30,SELL,['DFUSDT'],1
2024-12-29 20:45:00+05:30,BUY,"['ROSEUSDT', 'VIBUSDT', 'HIVEUSDT']",3
2024-12-29 21:30:00+05:30,BUY,['AEURUSDT'],1
2024-12-29 22:00:00+05:30,BUY,['DEXEUSDT'],1
2024-12-29 22:30:00+05:30,BUY,['AAVEUSDT'],1
2024-12-29 22:45:00+05:30,BUY,['VIBUSDT'],1
2024-12-29 23:15:00+05:30,BUY,"['PEOPLEUSDT', 'PORTALUSDT', 'BICOUSDT', 'POWRUSDT', 'RIFUSDT', 'SUNUSDT', 'EOSUSDT']",7
2024-12-30 00:00:00+05:30,BUY,"['JUVUSDT', 'GRTUSDT']",2
2024-12-30 00:15:00+05:30,BUY,['ALCXUSDT'],1
2024-12-30 00:30:00+05:30,BUY,"['AUCTIONUSDT', 'HIVEUSDT']",2
2024-12-30 00:45:00+05:30,BUY,"['PROMUSDT', 'LUMIAUSDT', 'HFTUSDT', 'NKNUSDT', 'AUDIOUSDT']",5
2024-12-30 02:15:00+05:30,BUY,"['SUIUSDT', 'USUALUSDT', 'CHESSUSDT', 'PORTOUSDT', 'THETAUSDT', 'HBARUSDT', 'RVNUSDT', 'NTRNUSDT', 'IOTAUSDT', 'SXPUSDT']",10
2024-12-30 05:00:00+05:30,BUY,"['ARUSDT', 'BARUSDT', 'STRAXUSDT', 'TKOUSDT']",4
2024-12-30 05:45:00+05:30,BUY,['PAXGUSDT'],1
2024-12-30 08:15:00+05:30,BUY,['COWUSDT'],1
